effect,group,term,estimate,std.error,statistic,model
fixed,NA,(Intercept),11.805382355423575,1.3162712752768124,8.96880648933169,ttr_TSYD
fixed,NA,`Clip type`random,-8.836110889946504,1.203600955001133,-7.341395711951878,ttr_TSYD
fixed,NA,languageYélî Dnye,0.9410917328322334,1.8562094684734038,0.5069965156498271,ttr_TSYD
fixed,NA,`Clip type`random:languageYélî Dnye,-1.1784389024832762,1.671002347286495,-0.7052287535064915,ttr_TSYD
ran_pars,filename,sd__(Intercept),3.4090582399304807,NA,NA,ttr_TSYD
ran_pars,Residual,sd__Observation,7.987232760143509,NA,NA,ttr_TSYD
fixed,NA,(Intercept),0.156732461459468,0.08053652283734732,1.9461041517276214,is_TSYD
fixed,NA,age_mo_round,7.960496243465099e-4,0.003962688804822241,0.20088623244343287,is_TSYD
fixed,NA,languageYélî Dnye,-0.11054184641657401,0.11132965763727139,-0.9929236176826827,is_TSYD
fixed,NA,age_mo_round:languageYélî Dnye,0.014493495053432526,0.00586493019773201,2.471213563468703,is_TSYD
ran_pars,filename,sd__(Intercept),0.11524726209013476,NA,NA,is_TSYD
ran_pars,Residual,sd__Observation,0.3483310721061089,NA,NA,is_TSYD
fixed,NA,(Intercept),3.159930121277028,0.24258270686310074,13.026196970669904,ttr_TSI
fixed,NA,rec_typemanual,-0.09480489017553077,0.4095884363245248,-0.23146378600497167,ttr_TSI
ran_pars,filename,sd__(Intercept),0.5109738211873961,NA,NA,ttr_TSI
ran_pars,Residual,sd__Observation,3.1393421592480104,NA,NA,ttr_TSI
fixed,NA,(Intercept),0.3834801377042116,0.08715751468759356,4.399851683228389,is_TSI
fixed,NA,age_mo_round,0.008048912500037047,0.00237089089183951,3.3948894602197885,is_TSI
fixed,NA,rec_typemanual,0.10675834256930464,0.15065317437984588,0.708636528959768,is_TSI
fixed,NA,age_mo_round:rec_typemanual,-0.005593759944975224,0.004015576527737358,-1.39301540048774,is_TSI
ran_pars,filename,sd__(Intercept),0.06235833183044992,NA,NA,is_TSI
ran_pars,Residual,sd__Observation,0.41056660922437915,NA,NA,is_TSI
