filename,annot.clip,language,age_mo_round,prop.is.cx,prop.is.ma,prop.is.fa
0643.txt,annotated-11124000_11184000-tt-1,Tseltal,2,0,0,1
0643.txt,annotated-11184000_11484000-extension_tt-1,Tseltal,2,0.1,0,1
0643.txt,annotated-17763000_17823000-va-2,Tseltal,2,0.5,0,0.5
0643.txt,annotated-1946000_2246000-random-1,Tseltal,2,1,0,0
0643.txt,annotated-20364000_20664000-random-6,Tseltal,2,1,0,0
0643.txt,annotated-26502000_26802000-random-8,Tseltal,2,0.6666666666666666,0,0.3333333333333333
0643.txt,annotated-26870000_26930000-tt-4,Tseltal,2,0,0,1
0643.txt,annotated-29940000_30000000-tt-5,Tseltal,2,1,0,0
0643.txt,annotated-31085000_31145000-va-5,Tseltal,2,0,1,0
0643.txt,annotated-4926000_5226000-random-2,Tseltal,2,0,0,1
1143.txt,annotated-12549000_12699000-random-4,Yélî Dnye,8,0,0,1
1143.txt,annotated-19850000_19910000-tt-1,Yélî Dnye,8,0,0,1
1143.txt,annotated-20060000_20120000-tt-2,Yélî Dnye,8,0,0,1
1143.txt,annotated-20355000_20415000-tt-3,Yélî Dnye,8,0,0,1
1143.txt,annotated-21265000_21325000-tt-4,Yélî Dnye,8,0,0,1
1143.txt,annotated-22005000_22155000-random-6,Yélî Dnye,8,0,0,1
1143.txt,annotated-23084000_23144000-tt-5,Yélî Dnye,8,0,0,1
1143.txt,annotated-26095000_26245000-random-7,Yélî Dnye,8,0,0,1
1143.txt,annotated-28551000_28701000-random-8,Yélî Dnye,8,1,0,0
1143.txt,annotated-30300000_30450000-random-9,Yélî Dnye,8,0,0,1
1143.txt,annotated-4646000_4796000-random-2,Yélî Dnye,8,1,0,0
1143.txt,annotated-6596000_6746000-random-3,Yélî Dnye,8,0,0,1
1143.txt,annotated-8534000_8586000-ext-va-1,Yélî Dnye,8,0,0,0
1143.txt,annotated-8586000_8646000-va-1,Yélî Dnye,8,0,0,1
2109.txt,annotated-14676000_14736000-tt-2,Tseltal,7,0,1,0
2109.txt,annotated-15473000_15533000-va-1,Tseltal,7,0,0,1
2109.txt,annotated-15546000_15833000-extension_tt-3,Tseltal,7,0,0,1
2109.txt,annotated-15833000_15893000-tt-3,Tseltal,7,0,0,1
2109.txt,annotated-15893000_15906000-extension_tt-3,Tseltal,7,0,0,1
2109.txt,annotated-20171000_20231000-va-2,Tseltal,7,0,0,1
2109.txt,annotated-22675000_22975000-random-7,Tseltal,7,0,0,1
2109.txt,annotated-24338000_24398000-tt-4,Tseltal,7,0,0,1
2109.txt,annotated-24562000_24622000-va-4,Tseltal,7,0,0,1
2109.txt,annotated-25200000_25260000-tt-5,Tseltal,7,0,0,1
2109.txt,annotated-29116000_29416000-random-8,Tseltal,7,0,0,1
2109.txt,annotated-30718000_30778000-va-5,Tseltal,7,0,0,1
2109.txt,annotated-31613000_31913000-random-9,Tseltal,7,0,0.18181818181818182,0.8181818181818182
2109.txt,annotated-3381000_3681000-random-1,Tseltal,7,0,0,1
2109.txt,annotated-3912000_4212000-random-2,Tseltal,7,0,0,1
2109.txt,annotated-4322000_4382000-tt-1,Tseltal,7,0,0,1
