filename,annot.clip,language,age_mo_round,tot.n.tt.cx,tot.n.tt.ma,tot.n.tt.fa,tot.n.tt.all,annot.clip.dur.ms,ttr.cx,ttr.ma,ttr.fa,ttr.all,Clip type
0643.txt,annotated-11124000_11184000-tt-1,Tseltal,2,0,0,27,27,60000,0,0,27,27,active
0643.txt,annotated-11184000_11484000-extension_tt-1,Tseltal,2,1,0,54,55,300000,0.2,0,10.8,11,active
0643.txt,annotated-14171000_14471000-random-3,Tseltal,2,0,0,0,0,300000,0,0,0,0,random
0643.txt,annotated-16625000_16925000-random-5,Tseltal,2,0,0,0,0,300000,0,0,0,0,random
0643.txt,annotated-17763000_17823000-va-2,Tseltal,2,1,0,4,5,60000,1,0,4,5,active
0643.txt,annotated-17889000_17949000-tt-2,Tseltal,2,0,0,0,0,60000,0,0,0,0,active
0643.txt,annotated-1946000_2246000-random-1,Tseltal,2,4,0,0,4,300000,0.8,0,0,0.8,random
0643.txt,annotated-20364000_20664000-random-6,Tseltal,2,1,0,0,1,300000,0.2,0,0,0.2,random
0643.txt,annotated-23508000_23568000-tt-3,Tseltal,2,0,0,0,0,60000,0,0,0,0,active
0643.txt,annotated-26150000_26210000-va-3,Tseltal,2,0,0,0,0,60000,0,0,0,0,active
0643.txt,annotated-26502000_26802000-random-8,Tseltal,2,5,0,1,6,300000,1,0,0.2,1.2,random
0643.txt,annotated-26870000_26930000-tt-4,Tseltal,2,0,0,4,4,60000,0,0,4,4,active
0643.txt,annotated-29940000_30000000-tt-5,Tseltal,2,1,0,0,1,60000,1,0,0,1,active
0643.txt,annotated-30522000_30582000-va-4,Tseltal,2,0,0,0,0,60000,0,0,0,0,active
0643.txt,annotated-31085000_31145000-va-5,Tseltal,2,0,2,0,2,60000,0,2,0,2,active
0643.txt,annotated-4926000_5226000-random-2,Tseltal,2,0,0,1,1,300000,0,0,0.2,0.2,random
0643.txt,annotated-6478000_6538000-va-1,Tseltal,2,0,0,0,0,60000,0,0,0,0,active
1143.txt,annotated-10131000_10191000-va-3,Yélî Dnye,8,0,0,0,0,60000,0,0,0,0,active
1143.txt,annotated-10496000_10556000-va-4,Yélî Dnye,8,0,0,0,0,60000,0,0,0,0,active
1143.txt,annotated-12549000_12699000-random-4,Yélî Dnye,8,0,0,1,1,150000,0,0,0.4,0.4,random
1143.txt,annotated-16508000_16658000-random-5,Yélî Dnye,8,0,0,0,0,150000,0,0,0,0,random
1143.txt,annotated-1789000_1939000-random-1,Yélî Dnye,8,0,0,0,0,150000,0,0,0,0,random
1143.txt,annotated-19850000_19910000-tt-1,Yélî Dnye,8,0,0,2,2,60000,0,0,2,2,active
1143.txt,annotated-20060000_20120000-tt-2,Yélî Dnye,8,0,0,6,6,60000,0,0,6,6,active
1143.txt,annotated-20355000_20415000-tt-3,Yélî Dnye,8,0,0,4,4,60000,0,0,4,4,active
1143.txt,annotated-21265000_21325000-tt-4,Yélî Dnye,8,0,0,12,12,60000,0,0,12,12,active
1143.txt,annotated-21388000_21448000-va-5,Yélî Dnye,8,0,0,0,0,60000,0,0,0,0,active
1143.txt,annotated-22005000_22155000-random-6,Yélî Dnye,8,0,0,2,2,150000,0,0,0.8,0.8,random
1143.txt,annotated-23084000_23144000-tt-5,Yélî Dnye,8,0,0,21,21,60000,0,0,21,21,active
1143.txt,annotated-26095000_26245000-random-7,Yélî Dnye,8,0,0,4,4,150000,0,0,1.6,1.6,random
1143.txt,annotated-28551000_28701000-random-8,Yélî Dnye,8,3,0,0,3,150000,1.2,0,0,1.2,random
1143.txt,annotated-30300000_30450000-random-9,Yélî Dnye,8,0,0,1,1,150000,0,0,0.4,0.4,random
1143.txt,annotated-4646000_4796000-random-2,Yélî Dnye,8,8,0,0,8,150000,3.2,0,0,3.2,random
1143.txt,annotated-6596000_6746000-random-3,Yélî Dnye,8,0,0,4,4,150000,0,0,1.6,1.6,random
1143.txt,annotated-8534000_8586000-ext-va-1,Yélî Dnye,8,0,0,0,0,52000,0,0,0,0,active
