filename,annot.clip,rec_type,language,age_mo_round,prop.is.cx,prop.is.ma,prop.is.fa
C01_C02_M01_20170706_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',32,0.6666666666666666,0,0.6666666666666666
C01_C02_M01_20170706_m1.txt,annotated-52440000_52500000-15,manual,Tsimane',32,0,1,0
C01_C02_M01_20170706_m1.txt,annotated-5640000_5700000-2,manual,Tsimane',32,0,0,1
C01_C02_M01_20170706_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',32,0,0,1
C01_C02_M01_20170718_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',32,0,0,1
C01_C02_M01_20170718_m1.txt,annotated-34440000_34500000-10,manual,Tsimane',32,0.6666666666666666,0.3333333333333333,0
C01_C02_M01_20170718_m1.txt,annotated-41640000_41700000-12,manual,Tsimane',32,0,1,0
C04_C05_M03_20170707_m1.txt,annotated-12840000_12900000-4,manual,Tsimane',35,1,0,0
C04_C05_M03_20170707_m1.txt,annotated-16440000_16500000-5,manual,Tsimane',35,1,0,0
C04_C05_M03_20170707_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',35,1,0,0
C04_C05_M03_20170707_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',35,1,0,0
C04_C05_M03_20170707_m1.txt,annotated-34440000_34500000-10,manual,Tsimane',35,1,0,0
C04_C05_M03_20170707_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',35,0.6666666666666666,0,0.3333333333333333
C09_C08_M05_20170708_m1.txt,annotated-12840000_12900000-4,manual,Tsimane',31,0.5,0,0.5
C09_C08_M05_20170708_m1.txt,annotated-16440000_16500000-5,manual,Tsimane',31,1,0,0
C09_C08_M05_20170708_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',31,0,0,1
C09_C08_M05_20170708_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',31,1,0,0
C10_C11_M06_20170709_m1.txt,annotated-12840000_12900000-4,manual,Tsimane',58,0,0,1
C10_C11_M06_20170709_m1.txt,annotated-16440000_16500000-5,manual,Tsimane',58,1,0,0
C10_C11_M06_20170709_m1.txt,annotated-20040000_20100000-6,manual,Tsimane',58,1,0,0
C10_C11_M06_20170709_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',58,1,0,0
C10_C11_M06_20170709_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',58,0.5,0,0.5
C10_C11_M06_20170709_m1.txt,annotated-34440000_34500000-10,manual,Tsimane',58,1,0,0
C10_C11_M06_20170709_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',58,1,0,0
C11_C10_M06_20170709_m1.txt,annotated-16440000_16500000-5,manual,Tsimane',23,1,0,0
C11_C10_M06_20170709_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',23,0.5,0,1
C11_C10_M06_20170709_m1.txt,annotated-23640000_23700000-7,manual,Tsimane',23,0,1,0
C11_C10_M06_20170709_m1.txt,annotated-34440000_34500000-10,manual,Tsimane',23,1,0,0
C11_C10_M06_20170709_m1.txt,annotated-38040000_38100000-11,manual,Tsimane',23,1,0,0
C11_C10_M06_20170718_m1.txt,annotated-52440000_52500000-15,manual,Tsimane',24,0.3333333333333333,0.6666666666666666,0.3333333333333333
C12_C13_M07_20170709_m1.txt,annotated-12840000_12900000-4,manual,Tsimane',51,0,0,1
C12_C13_M07_20170709_m1.txt,annotated-16440000_16500000-5,manual,Tsimane',51,0,0,1
C12_C13_M07_20170709_m1.txt,annotated-20040000_20100000-6,manual,Tsimane',51,1,0,0
C12_C13_M07_20170709_m1.txt,annotated-23640000_23700000-7,manual,Tsimane',51,1,0,0
C12_C13_M07_20170709_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',51,1,0,0
C12_C13_M07_20170709_m1.txt,annotated-34440000_34500000-10,manual,Tsimane',51,0,0.5,0.5
C12_C13_M07_20170709_m1.txt,annotated-5640000_5700000-2,manual,Tsimane',51,0,0,1
C12_C13_M07_20170709_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',51,1,0,0
C15_NA_M09_20170710_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',19,0.25,0,1
C15_NA_M09_20170710_m1.txt,annotated-5640000_5700000-2,manual,Tsimane',19,0.5,0.5,0.5
C15_NA_M09_20170710_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',19,1,0,0
C16_NA_M10_20170710_m1.txt,annotated-12840000_12900000-4,manual,Tsimane',36,1,0,0
C16_NA_M10_20170710_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',36,0.5,0,1
C16_NA_M10_20170710_m1.txt,annotated-23640000_23700000-7,manual,Tsimane',36,0.5,0,0.5
C16_NA_M10_20170710_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',36,1,0,0
C16_NA_M10_20170710_m1.txt,annotated-5640000_5700000-2,manual,Tsimane',36,1,0,0
C16_NA_M10_20170710_m1.txt,annotated-9240000_9300000-3,manual,Tsimane',36,1,0,0
C18_C17_M11_20170711_m1.txt,annotated-12840000_12900000-4,manual,Tsimane',30,0.3333333333333333,0.3333333333333333,0.6666666666666666
C18_C17_M11_20170711_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',30,0,1,0.5
C18_C17_M11_20170711_m1.txt,annotated-23640000_23700000-7,manual,Tsimane',30,0,0.25,0.75
C18_C17_M11_20170711_m1.txt,annotated-27240000_27300000-8,manual,Tsimane',30,1,0,0
C18_C17_M11_20170711_m1.txt,annotated-30840000_30900000-9,manual,Tsimane',30,0,0,1
C18_C17_M11_20170718_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',30,0,1,0
