filename,annot.clip,rec_type,language,age_mo_round,tot.n.tt.cx,tot.n.tt.ma,tot.n.tt.fa,tot.n.tt.all,annot.clip.dur.ms,ttr.cx,ttr.ma,ttr.fa,ttr.all
C01_C02_M01_20170706_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',32,3,0,6,9,60000,3,0,6,9
C01_C02_M01_20170706_m1.txt,annotated-23640000_23700000-13,manual,Tsimane',32,0,0,0,0,60000,0,0,0,0
C01_C02_M01_20170706_m1.txt,annotated-52440000_52500000-29,manual,Tsimane',32,0,2,0,2,60000,0,2,0,2
C01_C02_M01_20170706_m1.txt,annotated-5640000_5700000-3,manual,Tsimane',32,0,0,1,1,60000,0,0,1,1
C01_C02_M01_20170706_m1.txt,annotated-9240000_9300000-5,manual,Tsimane',32,0,0,1,1,60000,0,0,1,1
C01_C02_M01_20170718_m1.txt,annotated-16440000_16500000-9,manual,Tsimane',32,0,0,0,0,60000,0,0,0,0
C01_C02_M01_20170718_m1.txt,annotated-20040000_20100000-11,manual,Tsimane',32,0,0,0,0,60000,0,0,0,0
C01_C02_M01_20170718_m1.txt,annotated-2040000_2100000-1,manual,Tsimane',32,0,0,2,2,60000,0,0,2,2
C01_C02_M01_20170718_m1.txt,annotated-23640000_23700000-13,manual,Tsimane',32,0,0,0,0,60000,0,0,0,0
C01_C02_M01_20170718_m1.txt,annotated-34440000_34500000-19,manual,Tsimane',32,4,2,0,6,60000,4,2,0,6
C01_C02_M01_20170718_m1.txt,annotated-41640000_41700000-23,manual,Tsimane',32,0,1,0,1,60000,0,1,0,1
C01_C02_M01_20170718_m1.txt,annotated-5640000_5700000-3,manual,Tsimane',32,0,0,0,0,60000,0,0,0,0
C04_C05_M03_20170707_m1.txt,annotated-12840000_12900000-7,manual,Tsimane',35,4,0,0,4,60000,4,0,0,4
C04_C05_M03_20170707_m1.txt,annotated-16440000_16500000-9,manual,Tsimane',35,1,0,0,1,60000,1,0,0,1
