speaker,annot.clip,start.ms,stop.ms,addressee,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.post.increment.start,response.post.increment.stop
CHN,annotated-0-FULL_RECORDING,44110,45930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAN,45930,48270,NA,NA
CHN,annotated-0-FULL_RECORDING,52430,55600,NA,NA,NA,NA,NA,FAN,50630,51630,NA,NA,NA,NA,NA,NA,NA
CHN,annotated-0-FULL_RECORDING,62410,63020,NA,NA,NA,NA,NA,FAN,59990,62410,NA,NA,FAN,63020,67090,NA,NA
CHN,annotated-0-FULL_RECORDING,76730,77330,NA,NA,NA,NA,NA,FAN,72980,76730,72370,72980,FAN,77330,80670,86990,88780
CHN,annotated-0-FULL_RECORDING,93800,94400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAN,95200,96250,NA,NA
CHN,annotated-0-FULL_RECORDING,101920,102530,NA,NA,NA,NA,NA,FAN,100640,101920,NA,NA,FAN,102530,106390,NA,NA
CHN,annotated-0-FULL_RECORDING,132300,133000,NA,NA,NA,NA,NA,FAN,128500,131400,NA,NA,NA,NA,NA,NA,NA
CHN,annotated-0-FULL_RECORDING,135710,136380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN,annotated-0-FULL_RECORDING,179550,180150,NA,NA,NA,NA,NA,FAN,176770,179550,NA,NA,NA,NA,NA,NA,NA
CHN,annotated-0-FULL_RECORDING,197640,198790,NA,NA,NA,NA,NA,FAN,190570,197640,NA,NA,FAN,198790,202460,205060,206480
CHN,annotated-0-FULL_RECORDING,207340,208520,NA,NA,NA,208520,209230,FAN,205060,206480,198790,202460,FAN,209230,213790,214630,215740
CHN,annotated-0-FULL_RECORDING,208520,209230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN,annotated-0-FULL_RECORDING,340020,340620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN,annotated-0-FULL_RECORDING,405210,406030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
