speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms,random.run.num
CH,annotated-0_51968990-1,13557,16017,NA,1,NA,NA,NA,NA,CX,10617,12857,2,9670,10470,NA,NA,NA,NA,NA,NA,1,CX,9670,CH,16017,NA,NA,NA,1
CH,annotated-0_51968990-1,30954,31554,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,33220,34230,1,NA,NA,2,CH,30954,FA,34230,NA,NA,NA,1
CH,annotated-0_51968990-1,32284,33534,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,CH,30954,FA,34230,NA,NA,NA,1
CH,annotated-0_51968990-1,42934,43634,NA,1,NA,NA,NA,NA,CX,40541,41341,1,NA,NA,NA,NA,NA,NA,NA,NA,3,CX,40541,CH,43634,NA,NA,NA,1
CH,annotated-0_51968990-1,75008,75658,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,75008,75658,1
CH,annotated-0_51968990-1,81207,81967,NA,1,NA,NA,NA,NA,CX,80093,80693,1,NA,NA,CX,81686,82486,1,NA,NA,4,CX,80093,CX,82486,NA,NA,NA,1
CH,annotated-0_51968990-1,104304,104914,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,105673,106833,1,NA,NA,5,CH,104304,CX,106833,NA,NA,NA,1
CH,annotated-0_51968990-1,111898,112508,NA,1,NA,NA,NA,NA,MA,109563,112123,1,NA,NA,NA,NA,NA,NA,NA,NA,6,MA,109563,CH,112508,NA,NA,NA,1
CH,annotated-0_51968990-1,121940,123270,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CX,122446,123456,1,NA,NA,7,CH,121940,CX,123456,NA,NA,NA,1
CH,annotated-0_51968990-1,134884,137334,NA,1,NA,NA,NA,NA,FA,133695,134705,1,NA,NA,CX,137321,138431,1,NA,NA,8,FA,133695,CX,138431,NA,NA,NA,1
CH,annotated-0_51968990-1,142730,143410,NA,1,NA,NA,NA,NA,CX,141613,142613,1,NA,NA,NA,NA,NA,NA,NA,NA,9,CX,141613,CH,143410,NA,NA,NA,1
CH,annotated-0_51968990-1,221210,222070,NA,1,NA,NA,NA,NA,FA,219646,220646,1,NA,NA,FA,222067,222807,1,NA,NA,10,FA,219646,FA,222807,NA,NA,NA,1
