speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop
CH,annotated-0_51968990-1,44110,45930,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,45930,48270,1,NA,NA
CH,annotated-0_51968990-1,52430,55600,NA,1,NA,NA,NA,NA,FA,50630,51630,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,62410,63020,NA,1,NA,NA,NA,NA,FA,59990,62410,1,NA,NA,FA,63020,67090,1,NA,NA
CH,annotated-0_51968990-1,76730,77330,NA,1,NA,NA,NA,NA,FA,72980,76730,2,72370,72980,FA,77330,80670,6,86990,88780
CH,annotated-0_51968990-1,93800,94400,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,95200,96250,1,NA,NA
CH,annotated-0_51968990-1,101920,102530,NA,1,NA,NA,NA,NA,FA,100640,101920,1,NA,NA,FA,102530,106390,1,NA,NA
CH,annotated-0_51968990-1,132300,133000,NA,1,NA,NA,NA,NA,FA,128500,131400,1,NA,NA,MA,133910,134710,1,NA,NA
CH,annotated-0_51968990-1,135710,136380,NA,2,NA,NA,137180,137780,MA,133910,134710,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,137180,137780,NA,2,135710,136380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,179550,180150,NA,1,NA,NA,NA,NA,FA,176770,179550,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,197640,198790,NA,1,NA,NA,NA,NA,FA,190570,197640,1,NA,NA,FA,198790,202460,4,205060,206480
CH,annotated-0_51968990-1,207340,208520,NA,1,NA,NA,NA,NA,FA,205060,206480,4,198790,202460,FA,209230,213790,2,214630,215740
CH,annotated-0_51968990-1,208520,209230,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,340020,340620,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,405210,406030,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,410130,410900,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,413210,414080,NA,1,NA,NA,NA,NA,FA,412190,413210,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,434190,435100,NA,1,NA,NA,NA,NA,MA,433180,434190,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,438100,439030,NA,1,NA,NA,NA,NA,FA,436930,438100,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,478880,479650,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,481540,482140,NA,2,NA,NA,482980,483580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,482980,483580,NA,2,481540,482140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,485540,486140,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,509920,510670,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,513180,513980,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,514780,517710,1,NA,NA
CH,annotated-0_51968990-1,517710,518510,NA,1,NA,NA,NA,NA,FA,514780,517710,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,534820,539960,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,541980,542680,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FA,542680,543740,1,NA,NA
CH,annotated-0_51968990-1,552210,553640,NA,1,NA,NA,NA,NA,MA,550240,551410,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,555380,555980,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,557190,560020,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,565450,566050,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,569080,569680,NA,2,NA,NA,570480,572860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,570480,572860,NA,2,569080,569680,NA,NA,NA,NA,NA,NA,NA,NA,FA,572860,573870,1,NA,NA
CH,annotated-0_51968990-1,574800,575410,NA,1,NA,NA,NA,NA,FA,572860,573870,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,591470,592200,NA,1,NA,NA,NA,NA,FA,590460,591470,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,610500,612930,NA,2,NA,NA,613830,614450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,613830,614450,NA,2,610500,612930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,619530,620470,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,706160,707260,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,710190,710940,NA,2,NA,NA,711740,712360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,711740,712360,NA,2,710190,710940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,729760,730890,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,736570,737170,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,763200,764000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,766170,768390,NA,2,NA,NA,768390,769840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,768390,769840,NA,2,766170,768390,NA,NA,NA,NA,NA,NA,NA,NA,MA,769840,770840,1,NA,NA
CH,annotated-0_51968990-1,771720,772350,NA,3,NA,NA,773210,774200,MA,769840,770840,1,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,772350,773210,NA,3,771720,772350,773210,774200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,773210,774200,NA,3,771720,772350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,annotated-0_51968990-1,775540,778160,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
